Instance ID,REGION-CENTROID-COL,REGION-CENTROID-ROW,SHORT-LINE-DENSITY-5,SHORT-LINE-DENSITY-2,VEDGE-MEAN,VEDGE-SD,HEDGE-MEAN,HEDGE-SD,INTENSITY-MEAN,RAWRED-MEAN,RAWBLUE-MEAN,RAWGREEN-MEAN,EXRED-MEAN,EXBLUE-MEAN,EXGREEN-MEAN,VALUE-MEAN,SATURATION-MEAN,HUE-MEAN,Actual Class
1,0.553784861,0.476987448,0,0,0.010893251,0.000109884,0.014906833,0.000224414,0.043119029,0.053571429,0.050810013,0.024941543,0.956790122,0.159547741,0.432203373,0.051546391,0.5456349,0.261149593,1
2,0.74501992,0.510460251,0,0,0.013071896,0.00046539,0.011180124,5.61034E-05,0.046475601,0.060876628,0.051546391,0.027279811,0.985596709,0.146984924,0.423728805,0.055964657,0.53858024,0.297659098,1
3,0.414342629,0.535564854,0,0,0.010893248,0.000187449,0.018633537,0.000376694,0.042602634,0.055194803,0.047864507,0.024941543,0.973251032,0.146984924,0.436440666,0.050073636,0.5326279,0.29003688,1
4,0.131474104,0.527196653,0,0,0.019607851,0.000290869,0.024844716,0.000341964,0.040795251,0.056818181,0.042709869,0.023382696,1,0.129396985,0.438559312,0.051546391,0.57363313,0.331118995,1
5,0.151394422,0.418410042,0,0,0.028322442,0.000652839,0.019875775,0.000309904,0.042086239,0.051136363,0.050810013,0.024162119,0.946502055,0.164572865,0.43432202,0.052282769,0.56291884,0.251150428,1
6,0.059760956,0.489539749,0,0,0.019607843,0.000135739,0.014906833,0.000224414,0.038729666,0.050324676,0.04418262,0.02182385,0.967078189,0.146984924,0.442796592,0.047128129,0.56150794,0.286355383,1
7,0.099601594,0.234309623,1,0,0.039215686,0.001551302,0.054658387,0.002297567,0.139426805,0.142857138,0.171575853,0.102104436,0.868312752,0.309045213,0.271186415,0.171575853,0.4369392,0.168229825,1
8,0.051792829,0.414225941,0,0,0.067538133,0.009340112,0.059627326,0.000737359,0.12496773,0.13798702,0.142120768,0.094310211,0.946502055,0.228643207,0.326271162,0.142120768,0.36884832,0.219770362,1
9,0.039840637,0.405857741,0,0,0.052287588,0.00139617,0.031055897,0.000686599,0.12316034,0.1387987,0.139911626,0.090413092,0.967078189,0.226130647,0.309322026,0.139911626,0.38875645,0.227732417,1
10,0.334661355,0.376569038,0,0,0.052287584,0.002249383,0.028571425,0.000878953,0.148463733,0.155032457,0.17746687,0.111457519,0.888888886,0.295226132,0.273305095,0.17746687,0.4047922,0.180202476,1
11,0.067729084,0.560669456,0,0,0.015250547,3.23187E-05,0.013664595,0.000269831,0.027368966,0.040584413,0.026509573,0.015588465,0.983539097,0.111809046,0.485169478,0.036818849,0.6005291,0.36324195,1
12,0.087649402,0.184100418,0,0,0.087145945,0.006412035,0.03975154,0.000566377,0.163439203,0.158279215,0.206185558,0.123148862,0.794238673,0.369346727,0.245762711,0.206185558,0.43507022,0.140808723,1
13,0.77689243,0.493723849,0,0,0.032679735,0.000756258,0.014906832,0.000128236,0.044151823,0.05762987,0.048600884,0.026500388,0.979423866,0.14321608,0.436440666,0.054491898,0.54012346,0.296182909,1
14,0.314741036,0.439330544,0,0,0.058823529,0.002850511,0.03478261,0.000630495,0.151303899,0.155032457,0.182621497,0.114575215,0.866255141,0.307788933,0.275423736,0.182621497,0.40736422,0.166554399,1
15,0.003984064,0.138075314,0,0,0.084967341,0.004169115,0.053416162,0.001103366,0.130648075,0.12662338,0.167157575,0.095869056,0.814814807,0.329145729,0.292372872,0.167157575,0.45768142,0.144040392,1
16,0.474103586,0.523012552,0,0,0.023965144,0.000730404,0.022360249,0.000320591,0.043635424,0.056818181,0.047864507,0.026500388,0.977366251,0.141959798,0.440677946,0.053019145,0.52954143,0.297698146,1
17,0.577689243,0.472803347,0,0,0.019607839,0.000290869,0.008695649,7.74761E-05,0.042086239,0.054383118,0.048600884,0.023382696,0.971193417,0.15326633,0.427966089,0.050810013,0.56349206,0.279142596,1
18,0.087649402,0.309623431,0,0,0.056644882,0.001835705,0.039751555,0.000694613,0.125225927,0.13798702,0.14506628,0.091971937,0.944444442,0.242462311,0.305084743,0.14506628,0.39975148,0.212029013,1
